Overriding config with config/train_tinystories.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-experiment1_depth-n_layer_4'
eval_interval = 250
eval_iters = 200
log_interval = 10

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'experiment1_depth_n_layer_4'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model :)
n_layer = 4
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 0.001
max_iters = 5000
lr_decay_iters = 5000
min_lr = 0.0001
beta2 = 0.99

warmup_iters = 100

device = 'cuda:1'

tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.21M
num decayed parameter tensors: 18, with 3,269,632 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.4909, val loss 5.4913
iter 0: loss 5.4901, time 2448.04ms, mfu -100.00%
iter 10: loss 4.1061, time 3.66ms, mfu 32.13%
iter 20: loss 3.4477, time 3.90ms, mfu 31.93%
iter 30: loss 2.9382, time 3.90ms, mfu 31.75%
iter 40: loss 2.5754, time 3.88ms, mfu 31.61%
iter 50: loss 2.4329, time 3.78ms, mfu 31.55%
iter 60: loss 2.4199, time 3.81ms, mfu 31.48%
iter 70: loss 2.3458, time 3.71ms, mfu 31.50%
iter 80: loss 2.2980, time 3.62ms, mfu 31.60%
iter 90: loss 2.3236, time 3.89ms, mfu 31.45%
iter 100: loss 2.2858, time 3.70ms, mfu 31.49%
iter 110: loss 2.2373, time 3.85ms, mfu 31.39%
iter 120: loss 2.2403, time 3.60ms, mfu 31.51%
iter 130: loss 2.1575, time 3.70ms, mfu 31.54%
iter 140: loss 2.1330, time 3.62ms, mfu 31.64%
iter 150: loss 2.0923, time 3.87ms, mfu 31.51%
iter 160: loss 2.0370, time 3.92ms, mfu 31.36%
iter 170: loss 1.9991, time 3.70ms, mfu 31.39%
iter 180: loss 2.0062, time 3.81ms, mfu 31.34%
iter 190: loss 2.0046, time 3.92ms, mfu 31.21%
iter 200: loss 1.9133, time 3.67ms, mfu 31.29%
iter 210: loss 1.8411, time 3.85ms, mfu 31.21%
iter 220: loss 1.8355, time 3.89ms, mfu 31.11%
iter 230: loss 1.7823, time 3.86ms, mfu 31.04%
iter 240: loss 1.7474, time 3.59ms, mfu 31.21%
step 250: train loss 1.6752, val loss 1.6750
saving checkpoint to out-experiment1_depth-n_layer_4
