Overriding config with config/train_tinystories.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-experiment1_depth-n_layer_2'
eval_interval = 250
eval_iters = 200
log_interval = 10

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'experiment1_depth_n_layer_2'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model :)
n_layer = 2
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 0.001
max_iters = 5000
lr_decay_iters = 5000
min_lr = 0.0001
beta2 = 0.99

warmup_iters = 100

device = 'cuda:1'

tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 1.63M
num decayed parameter tensors: 10, with 1,696,768 parameters
num non-decayed parameter tensors: 5, with 1,280 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.5408, val loss 5.5411
iter 0: loss 5.5431, time 1918.94ms, mfu -100.00%
iter 10: loss 4.3320, time 3.30ms, mfu 18.09%
iter 20: loss 3.7516, time 3.32ms, mfu 18.07%
iter 30: loss 3.0641, time 3.26ms, mfu 18.10%
iter 40: loss 2.6643, time 3.29ms, mfu 18.10%
iter 50: loss 2.4795, time 3.13ms, mfu 18.20%
iter 60: loss 2.3665, time 3.28ms, mfu 18.20%
iter 70: loss 2.3518, time 2.90ms, mfu 18.44%
iter 80: loss 2.3095, time 2.96ms, mfu 18.61%
iter 90: loss 2.2904, time 3.21ms, mfu 18.61%
iter 100: loss 2.2702, time 2.97ms, mfu 18.76%
iter 110: loss 2.2786, time 2.98ms, mfu 18.88%
iter 120: loss 2.2446, time 3.23ms, mfu 18.84%
iter 130: loss 2.1861, time 3.16ms, mfu 18.85%
iter 140: loss 2.1943, time 3.24ms, mfu 18.80%
iter 150: loss 2.1261, time 3.13ms, mfu 18.83%
iter 160: loss 2.1316, time 3.00ms, mfu 18.93%
iter 170: loss 2.0631, time 2.99ms, mfu 19.04%
iter 180: loss 2.0950, time 3.11ms, mfu 19.05%
iter 190: loss 2.1308, time 2.98ms, mfu 19.15%
iter 200: loss 1.9766, time 3.15ms, mfu 19.13%
iter 210: loss 1.9670, time 3.20ms, mfu 19.08%
iter 220: loss 1.9011, time 3.16ms, mfu 19.06%
iter 230: loss 1.8640, time 3.16ms, mfu 19.05%
iter 240: loss 1.8175, time 3.08ms, mfu 19.08%
step 250: train loss 1.8082, val loss 1.8062
saving checkpoint to out-experiment1_depth-n_layer_2
iter 250: loss 1.8321, time 1013.49ms, mfu 17.18%
iter 260: loss 1.8316, time 3.29ms, mfu 17.27%
iter 270: loss 1.7027, time 3.01ms, mfu 17.53%
iter 280: loss 1.6780, time 3.20ms, mfu 17.64%
iter 290: loss 1.6503, time 3.09ms, mfu 17.81%
iter 300: loss 1.6193, time 3.14ms, mfu 17.93%
iter 310: loss 1.5440, time 3.08ms, mfu 18.07%
iter 320: loss 1.5423, time 3.09ms, mfu 18.20%
iter 330: loss 1.5143, time 2.93ms, mfu 18.42%
iter 340: loss 1.4627, time 3.22ms, mfu 18.43%
iter 350: loss 1.4651, time 3.05ms, mfu 18.55%
iter 360: loss 1.4244, time 3.17ms, mfu 18.58%
iter 370: loss 1.4037, time 3.19ms, mfu 18.59%
iter 380: loss 1.4328, time 2.90ms, mfu 18.79%
iter 390: loss 1.3634, time 3.05ms, mfu 18.87%
iter 400: loss 1.2874, time 3.04ms, mfu 18.95%
iter 410: loss 1.3798, time 2.95ms, mfu 19.08%
iter 420: loss 1.2932, time 3.10ms, mfu 19.10%
iter 430: loss 1.2950, time 3.11ms, mfu 19.11%
iter 440: loss 1.2590, time 3.15ms, mfu 19.09%
iter 450: loss 1.2828, time 3.10ms, mfu 19.10%
iter 460: loss 1.2598, time 3.07ms, mfu 19.14%
iter 470: loss 1.2921, time 3.13ms, mfu 19.13%
iter 480: loss 1.2274, time 3.07ms, mfu 19.17%
iter 490: loss 1.2142, time 3.05ms, mfu 19.21%
step 500: train loss 1.2191, val loss 1.2228
saving checkpoint to out-experiment1_depth-n_layer_2
iter 500: loss 1.1905, time 1004.56ms, mfu 17.29%
iter 510: loss 1.2006, time 3.15ms, mfu 17.46%
iter 520: loss 1.1653, time 3.09ms, mfu 17.64%
iter 530: loss 1.2112, time 3.16ms, mfu 17.77%
iter 540: loss 1.1592, time 2.94ms, mfu 18.02%
iter 550: loss 1.1591, time 3.04ms, mfu 18.19%
iter 560: loss 1.1462, time 3.22ms, mfu 18.22%
iter 570: loss 1.1319, time 3.10ms, mfu 18.32%
iter 580: loss 1.1539, time 3.18ms, mfu 18.37%
iter 590: loss 1.1476, time 3.17ms, mfu 18.41%
iter 600: loss 1.1645, time 3.10ms, mfu 18.50%
iter 610: loss 1.0669, time 3.13ms, mfu 18.56%
iter 620: loss 1.1216, time 3.03ms, mfu 18.67%
iter 630: loss 1.1063, time 3.15ms, mfu 18.70%
iter 640: loss 1.0842, time 3.04ms, mfu 18.79%
iter 650: loss 1.1207, time 2.89ms, mfu 18.98%
iter 660: loss 1.0701, time 3.21ms, mfu 18.94%
iter 670: loss 1.1227, time 3.15ms, mfu 18.94%
iter 680: loss 1.0749, time 3.00ms, mfu 19.04%
iter 690: loss 1.0741, time 3.18ms, mfu 19.01%
iter 700: loss 1.0553, time 3.08ms, mfu 19.05%
iter 710: loss 1.0220, time 3.07ms, mfu 19.09%
iter 720: loss 1.0649, time 2.93ms, mfu 19.22%
iter 730: loss 1.0487, time 2.95ms, mfu 19.32%
iter 740: loss 1.0843, time 3.13ms, mfu 19.30%
step 750: train loss 1.0485, val loss 1.0497
saving checkpoint to out-experiment1_depth-n_layer_2
