Overriding config with config/train_tinystories.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-experiment2_width-n_embd_384'
eval_interval = 250
eval_iters = 200
log_interval = 10

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'experiment2_width_n_embd_384'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model :)
n_layer = 6
n_head = 8
n_embd = 384
dropout = 0.0

learning_rate = 0.001
max_iters = 5000
lr_decay_iters = 5000
min_lr = 0.0001
beta2 = 0.99

warmup_iters = 100

device = 'cuda:1'

tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.71M
num decayed parameter tensors: 26, with 10,802,688 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.4897, val loss 5.4896
iter 0: loss 5.4945, time 10949.37ms, mfu -100.00%
iter 10: loss 3.5336, time 8.55ms, mfu 43.83%
iter 20: loss 2.9175, time 9.19ms, mfu 43.52%
iter 30: loss 2.5254, time 9.20ms, mfu 43.24%
iter 40: loss 2.3971, time 9.27ms, mfu 42.95%
iter 50: loss 2.3263, time 9.28ms, mfu 42.69%
iter 60: loss 2.3314, time 9.35ms, mfu 42.43%
iter 70: loss 2.3004, time 9.30ms, mfu 42.22%
iter 80: loss 2.2718, time 9.34ms, mfu 42.01%
iter 90: loss 2.2515, time 11.81ms, mfu 40.98%
iter 100: loss 2.1701, time 9.37ms, mfu 40.88%
iter 110: loss 2.1504, time 9.21ms, mfu 40.86%
iter 120: loss 2.1260, time 9.25ms, mfu 40.82%
iter 130: loss 2.0694, time 9.23ms, mfu 40.80%
iter 140: loss 2.0170, time 9.27ms, mfu 40.76%
iter 150: loss 1.8902, time 9.28ms, mfu 40.72%
iter 160: loss 1.8825, time 9.31ms, mfu 40.67%
iter 170: loss 1.8060, time 9.29ms, mfu 40.64%
iter 180: loss 1.6942, time 9.25ms, mfu 40.62%
iter 190: loss 1.6856, time 9.41ms, mfu 40.54%
iter 200: loss 1.5651, time 9.22ms, mfu 40.55%
iter 210: loss 1.5414, time 9.27ms, mfu 40.53%
iter 220: loss 1.5229, time 9.18ms, mfu 40.56%
iter 230: loss 1.4839, time 9.31ms, mfu 40.53%
iter 240: loss 1.4142, time 9.31ms, mfu 40.50%
step 250: train loss 1.4167, val loss 1.4126
saving checkpoint to out-experiment2_width-n_embd_384
iter 250: loss 1.3953, time 1736.10ms, mfu 36.47%
iter 260: loss 1.3373, time 8.58ms, mfu 37.19%
iter 270: loss 1.3604, time 9.28ms, mfu 37.51%
iter 280: loss 1.3229, time 9.19ms, mfu 37.83%
