Overriding config with config/train_tinystories.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-experiment3_heads-n_head_4'
eval_interval = 250
eval_iters = 200
log_interval = 10

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'experiment3_heads_n_head_4'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model :)
n_layer = 6
n_head = 4
n_embd = 256
dropout = 0.0

learning_rate = 0.001
max_iters = 5000
lr_decay_iters = 5000
min_lr = 0.0001
beta2 = 0.99

warmup_iters = 100

device = 'cuda:1'

tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.4058, val loss 5.4059
iter 0: loss 5.4065, time 9405.03ms, mfu -100.00%
iter 10: loss 4.0946, time 4.98ms, mfu 35.23%
iter 20: loss 3.4586, time 4.65ms, mfu 35.47%
iter 30: loss 2.9136, time 4.63ms, mfu 35.71%
iter 40: loss 2.6005, time 4.50ms, mfu 36.04%
iter 50: loss 2.4084, time 4.64ms, mfu 36.22%
iter 60: loss 2.3527, time 4.55ms, mfu 36.45%
iter 70: loss 2.3467, time 4.49ms, mfu 36.71%
iter 80: loss 2.2919, time 4.48ms, mfu 36.95%
iter 90: loss 2.3020, time 4.45ms, mfu 37.20%
iter 100: loss 2.2888, time 4.57ms, mfu 37.32%
iter 110: loss 2.2447, time 4.43ms, mfu 37.54%
iter 120: loss 2.1829, time 4.54ms, mfu 37.65%
iter 130: loss 2.2109, time 4.48ms, mfu 37.80%
iter 140: loss 2.1531, time 4.56ms, mfu 37.86%
iter 150: loss 2.1055, time 6.58ms, mfu 36.74%
iter 160: loss 2.0684, time 4.58ms, mfu 36.90%
iter 170: loss 2.0255, time 4.57ms, mfu 37.05%
iter 180: loss 2.0038, time 4.48ms, mfu 37.25%
iter 190: loss 1.9432, time 4.59ms, mfu 37.35%
iter 200: loss 1.8815, time 4.48ms, mfu 37.54%
iter 210: loss 1.8420, time 4.60ms, mfu 37.59%
iter 220: loss 1.8176, time 4.46ms, mfu 37.77%
iter 230: loss 1.7448, time 4.49ms, mfu 37.90%
iter 240: loss 1.7036, time 4.52ms, mfu 37.99%
step 250: train loss 1.6603, val loss 1.6564
saving checkpoint to out-experiment3_heads-n_head_4
iter 250: loss 1.6532, time 1468.65ms, mfu 34.20%
iter 260: loss 1.6327, time 4.67ms, mfu 34.54%
iter 270: loss 1.5940, time 4.66ms, mfu 34.84%
iter 280: loss 1.5435, time 4.54ms, mfu 35.22%
iter 290: loss 1.5623, time 4.70ms, mfu 35.43%
iter 300: loss 1.5209, time 4.61ms, mfu 35.69%
iter 310: loss 1.4892, time 4.59ms, mfu 35.95%
iter 320: loss 1.4020, time 4.55ms, mfu 36.21%
iter 330: loss 1.4065, time 4.65ms, mfu 36.36%
iter 340: loss 1.3607, time 4.52ms, mfu 36.61%
iter 350: loss 1.3992, time 4.60ms, mfu 36.76%
iter 360: loss 1.2970, time 4.63ms, mfu 36.87%
iter 370: loss 1.3371, time 4.45ms, mfu 37.12%
iter 380: loss 1.2966, time 4.60ms, mfu 37.22%
iter 390: loss 1.2736, time 4.51ms, mfu 37.39%
iter 400: loss 1.2825, time 4.56ms, mfu 37.50%
iter 410: loss 1.2508, time 4.50ms, mfu 37.65%
iter 420: loss 1.2476, time 4.56ms, mfu 37.73%
iter 430: loss 1.1787, time 4.51ms, mfu 37.85%
iter 440: loss 1.1561, time 4.83ms, mfu 37.69%
iter 450: loss 1.2206, time 4.52ms, mfu 37.80%
iter 460: loss 1.1883, time 5.43ms, mfu 37.25%
iter 470: loss 1.1810, time 4.58ms, mfu 37.35%
iter 480: loss 1.1544, time 4.43ms, mfu 37.57%
iter 490: loss 1.1305, time 4.63ms, mfu 37.60%
step 500: train loss 1.1259, val loss 1.1267
saving checkpoint to out-experiment3_heads-n_head_4
iter 500: loss 1.1619, time 1776.27ms, mfu 33.85%
iter 510: loss 1.1233, time 4.59ms, mfu 34.29%
iter 520: loss 1.0795, time 4.59ms, mfu 34.68%
iter 530: loss 1.0832, time 4.56ms, mfu 35.06%
iter 540: loss 1.1104, time 4.65ms, mfu 35.33%
iter 550: loss 1.0717, time 4.61ms, mfu 35.60%
iter 560: loss 1.0508, time 4.54ms, mfu 35.90%
iter 570: loss 1.0243, time 4.55ms, mfu 36.17%
iter 580: loss 1.0870, time 4.52ms, mfu 36.43%
iter 590: loss 1.0486, time 4.59ms, mfu 36.60%
iter 600: loss 1.0328, time 4.50ms, mfu 36.84%
iter 610: loss 1.0481, time 4.46ms, mfu 37.09%
iter 620: loss 0.9876, time 4.57ms, mfu 37.22%
iter 630: loss 1.0620, time 4.62ms, mfu 37.29%
iter 640: loss 1.0183, time 4.51ms, mfu 37.45%
iter 650: loss 1.0325, time 4.57ms, mfu 37.55%
